id,name,category_id
0,SgkA4f8tzq0,6
1,CpAcSTwceA1,3
2,NcKZhProQo2,9
3,Wd3rl8beFK3,6
4,14sOwUxnfq4,7
5,2ec7OKfLqN5,1
6,QfVAlElsqf6,5
7,d4fPTexd6f7,2
8,pfPtZVzk5M8,11
9,SFIMBNMuGq9,9
10,2PiIo3lPTM10,0
11,pGAxjx3hwm11,5
12,UnpAIErgGB12,1
13,FGW9j71duD13,5
14,beDnBDCGi614,4
15,qYvPF8dJgp15,5
16,oKaBJ6nfHj16,4
17,c5x21G77Jw17,0
18,JapFBsQ4xt18,9
19,MIWu3lw3Bo19,8
20,uCJ7UQ4vpC20,0
21,zDLELTtgLg21,0
22,rcf8zMpr6r22,7
23,e5skhGIERF23,2
24,aSM9xLKbpX24,0
25,KgPrM8CTpD25,5
26,jDDBbXrOFi26,6
27,3oTOaHAv7X27,2
28,A79mZEaaUi28,11
29,qKPRHCbiMC29,5
30,V3hruADn4p30,13
31,fKNhoJlBvA31,4
32,pSn1c8TfD032,3
33,kmOb8V4IeE33,12
34,ypPpQc5eV634,13
35,9WJOXVt6jK35,2
36,xlZte8wPrv36,2
37,jr4MaZ3tPh37,5
38,3MBrZKPaBJ38,2
39,u5nm8vGpA439,4
40,ewbWj0nNeS40,9
41,agQGX8hGqp41,11
42,CWQCkZKgvM42,10
43,l0MRjYoGN843,11
44,QY1wDRznu144,5
45,djbcMBkwfT45,7
46,lO2x41xKEU46,4
47,jEW9OPoxQ147,6
48,j36busa9z248,12
49,F7tOXo4ydX49,3
50,EpTO3htbon50,10
51,A8SntAmCrH51,2
52,4EQFQbT7Jj52,6
53,pXTCrLnIgC53,5
54,CVumn1Nffj54,13
55,yu0kixXEvZ55,13
56,aoh0ERcsuW56,11
57,Ds64CBd5oi57,13
58,kZ464ivqsR58,15
59,vhjpTvUtIa59,0
60,pb62ubgluR60,13
61,FJ17QRtEa561,4
62,MXOWsanuac62,15
63,DduxcafABH63,9
64,Ztdf3ppeGS64,0
65,SAkw3zdhxE65,3
66,mZeCPiXgcg66,4
67,Ra9D8dJ1l967,1
68,pu7pwAVHWS68,1
69,DI38VORMFz69,1
70,L6Qo2ykp4070,3
71,H3fzENejUI71,7
72,QGbcgoK17872,9
73,NAHPC1u1Pz73,5
74,zw5SE8TacM74,6
75,NRyZC8v7Lu75,5
76,MR4NLDfDe276,11
77,Wjuk6pIbtJ77,10
78,tDiSJuYuK278,0
79,UAWbeg3B5J79,3
80,DQvOGIj8PQ80,4
81,uwRbfLNozU81,15
82,1g8zTod1nk82,0
83,jEKBfJHdCw83,15
84,Y9EOZI9IZx84,12
85,8reoPALtyt85,2
86,6SiQ89qVGi86,11
87,WBldgONflL87,5
88,0sOR8BxjN088,6
89,uZePCylHPG89,5
90,gHwKiXmByL90,13
91,SJLqiT2Fq691,12
92,3QFZB9O5zF92,7
93,neHCJosyDD93,11
94,HEbTMlU45r94,13
95,sGeQpNELUW95,6
96,HHdYZNzzcI96,3
97,7Iq9zCnyVh97,2
98,mU5kV5cSso98,8
99,ospUDh65iA99,6
