id,name,assignment_id
0,z9bFbJvQhz0,48
1,RH5JcW1ytd1,64
2,jAFDoObEy02,66
3,Z4fKNHGsVk3,74
4,rN1ANVJUgB4,92
5,vOl7k1XjMw5,52
6,91RGyxTyDE6,90
7,hTMQFKGsMc7,61
8,4Kso0NcFD58,61
9,tMjMFnFvXs9,39
10,A9j0hxUPDh10,74
11,qPVDFoEiaT11,18
12,DyOy3DoBt312,99
13,uEKOnD1Xpu13,8
14,vP0Ni9ajMF14,91
15,A3PcmnIlwM15,63
16,ADaCfFjJnW16,57
17,JU2eNjE4uc17,16
18,SYFhG42gYF18,17
19,6ptosZ67ys19,39
20,NAChY69kN320,46
21,ofHuv6Zbou21,14
22,VWqbi25i9o22,19
23,tu0NBbgxQf23,86
24,4PjUNItsWA24,57
25,O2PjMFhT3a25,46
26,NeEqHrWoE826,9
27,OueSMmurpf27,66
28,DFUnMb0mxc28,14
29,PrjnXLpHpp29,64
30,4IVbwZNRYm30,86
31,URj7CwVGXp31,89
32,OtyjHA0Vdw32,53
33,DJ6Q8jjhhQ33,58
34,TkJCGTU9Uj34,8
35,SHZpQkLHXb35,36
36,LSMvmRkysE36,0
37,j1VVmcjaRn37,25
38,Tg5WlmAZld38,44
39,TB6MAel9mJ39,54
40,bsu6w9XWt440,20
41,1V4mp3FGF841,41
42,REG67iv76x42,32
43,LLLeDX1dAn43,50
44,vc94FWemty44,62
45,oteWHYWQed45,78
46,EuhTSgh3eu46,18
47,mOVAy68drb47,94
48,zD61zU3Xwv48,37
49,MPZNhoeICQ49,94
50,XdOVHFJipQ50,48
51,La6i1nAWb351,14
52,SOjrk5O2O152,73
53,6cx5ob0v2G53,44
54,Ixw8e7cqvY54,35
55,7u8D8KELMU55,84
56,zjkPKcoEz956,0
57,KjEXLKBeXC57,18
58,n4UZbsx47i58,24
59,weAUucH7B859,53
60,tZJIRNpAGA60,75
61,w786vcCTMh61,80
62,qG0sZZpzls62,27
63,tKhtY4S7LA63,74
64,gczkATKxIS64,73
65,8wOE5buBB865,86
66,gi50gl3UQZ66,30
67,sqqu0pq1fh67,45
68,7qHDvyCyHR68,63
69,MEuDuXpLSq69,40
70,q7QuRPHBw170,38
71,9Iqyk0T0iy71,53
72,zHI31okdRu72,0
73,l9fsJzfi6473,35
74,l8hemsmzbN74,64
75,za2QZbMUNk75,57
76,4okSmGroJp76,40
77,w2TcIRe0yk77,40
78,Dg6KGQwql878,53
79,bJcbprLfwd79,29
80,Gd5QKqVaRb80,84
81,XCVg38ASjc81,17
82,VTNpen94EY82,11
83,OLHWm1inoU83,54
84,7WAwAWpbc784,9
